province,city,county
河北省,邯郸市,武安市
河北省,邯郸市,武安市
吉林省,吉林市,蛟河市
吉林省,吉林市,蛟河市
河北省,沧州市,盐山县
山东省,滨州市,阳信县
山西省,太原市,小店区
浙江省,温州市,平阳县
安徽省,合肥市,包河区
浙江省,温州市,鹿城区
辽宁省,沈阳市,皇姑区
重庆市,重庆市,铜梁县
安徽省,合肥市,包河区
江苏省,苏州市,虎丘区
江苏省,苏州市,虎丘区
湖北省,荆门市,钟祥市
广东省,深圳市,坪山新区
安徽省,芜湖市,芜湖县
山西省,太原市,古交市
辽宁省,沈阳市,于洪区
山东省,菏泽市,郓城县
辽宁省,沈阳市,皇姑区
山西省,太原市,古交市
重庆市,重庆市,沙坪坝区
山东省,潍坊市,奎文区
河北省,石家庄市,长安区
河北省,石家庄市,长安区
山东省,潍坊市,奎文区
浙江省,宁波市,北仑区
浙江省,宁波市,北仑区
浙江省,杭州市,萧山区
浙江省,杭州市,萧山区
黑龙江省,齐齐哈尔市,龙江县
广东省,佛山市,禅城区
黑龙江省,齐齐哈尔市,龙江县
河南省,商丘市,永城市
河南省,商丘市,永城市
安徽省,合肥市,包河区
安徽省,合肥市,包河区
河北省,保定市,徐水县
河北省,石家庄市,裕华区
山西省,太原市,万柏林区
河北省,石家庄市,裕华区
上海市,上海市,奉贤区
河北省,沧州市,黄骅市
河北省,沧州市,黄骅市
辽宁省,辽阳市,宏伟区
山东省,青岛市,黄岛区
山东省,青岛市,黄岛区
北京市,北京市,大兴区
山东省,济南市,历城区
北京市,北京市,大兴区
辽宁省,铁岭市,昌图县
辽宁省,铁岭市,昌图县
湖北省,武汉市,洪山区
湖北省,武汉市,江汉区
辽宁省,沈阳市,和平区
河北省,石家庄市,辛集市
山东省,威海市,环翠区
浙江省,绍兴市,柯桥区
山东省,威海市,环翠区
浙江省,绍兴市,柯桥区
河北省,石家庄市,辛集市
江苏省,苏州市,昆山市
江苏省,苏州市,昆山市
江西省,吉安市,安福县
河南省,郑州市,荥阳市
河南省,郑州市,荥阳市
江西省,赣州市,章贡区
山东省,青岛市,城阳区
山东省,聊城市,东昌府区
江西省,赣州市,章贡区
山西省,太原市,小店区
河南省,安阳市,汤阴县
广东省,揭阳市,榕城区
河南省,安阳市,汤阴县
山东省,济南市,历城区
江西省,吉安市,安福县
浙江省,杭州市,西湖区
广东省,揭阳市,榕城区
河北省,沧州市,青县
吉林省,长春市,绿园区
吉林省,长春市,朝阳区
河北省,沧州市,新华区
河南省,商丘市,梁园区
河南省,商丘市,梁园区
河南省,郑州市,新密市
北京市,北京市,海淀区
重庆市,重庆市,沙坪坝区
山东省,青岛市,即墨市
上海市,上海市,松江区
安徽省,合肥市,蜀山区
上海市,上海市,松江区
安徽省,合肥市,蜀山区
山东省,烟台市,蓬莱市
黑龙江省,牡丹江市,宁安市
重庆市,重庆市,沙坪坝区
江西省,南昌市,新建县
江西省,抚州市,广昌县
江苏省,南京市,江宁区
江苏省,扬州市,邗江区
浙江省,宁波市,镇海区
北京市,北京市,海淀区
上海市,上海市,浦东新区
浙江省,宁波市,镇海区
山东省,青岛市,即墨市
辽宁省,沈阳市,铁西区
辽宁省,沈阳市,浑南新区
河北省,保定市,定州市
天津市,天津市,宝坻区
天津市,天津市,塘沽区
河南省,周口市,太康县
四川省,成都市,新都区
广东省,广州市,番禺区
浙江省,温州市,乐清市
浙江省,温州市,鹿城区
浙江省,温州市,鹿城区
河北省,石家庄市,裕华区
浙江省,宁波市,余姚市
广东省,广州市,天河区
湖北省,襄阳市,襄州区
河北省,石家庄市,桥东区
广东省,广州市,天河区
湖北省,武汉市,硚口区
广东省,广州市,天河区
福建省,厦门市,思明区
陕西省,西安市,阎良区
河南省,郑州市,中牟县
安徽省,合肥市,蜀山区
河南省,郑州市,郑东新区
甘肃省,天水市,秦州区
湖北省,荆门市,钟祥市
安徽省,淮北市,濉溪县
山东省,淄博市,临淄区
山东省,淄博市,临淄区
江西省,鹰潭市,贵溪市
江苏省,无锡市,锡山区
北京市,北京市,丰台区
北京市,北京市,海淀区
山东省,滨州市,惠民县
上海市,上海市,浦东新区
山东省,滨州市,惠民县
甘肃省,庆阳市,西峰区
甘肃省,庆阳市,西峰区
吉林省,辽源市,东丰县
山东省,临沂市,沂水县
山东省,临沂市,沂水县
福建省,泉州市,南安市
福建省,泉州市,南安市
江西省,南昌市,青山湖区
江西省,景德镇市,乐平市
江苏省,南通市,通州市
河北省,石家庄市,桥西区
黑龙江省,哈尔滨市,松北区
辽宁省,朝阳市,双塔区
辽宁省,朝阳市,双塔区
浙江省,杭州市,西湖区
河南省,焦作市,沁阳市
河南省,焦作市,沁阳市
湖北省,黄冈市,蕲春县
广东省,河源市,源城区
广东省,惠州市,惠城区
浙江省,温州市,苍南县
江苏省,无锡市,锡山区
浙江省,温州市,苍南县
重庆市,重庆市,永川市
广东省,韶关市,曲江区
广东省,韶关市,曲江区
湖北省,孝感市,孝南区
湖北省,孝感市,孝南区
山东省,德州市,德城区
